@RELATION chess_result
@ATTRIBUTE wit_rating NUMERIC
@ATTRIBUTE wit_stand NUMERIC
@ATTRIBUTE wit_resultaat_1 NUMERIC
@ATTRIBUTE wit_rating_1 NUMERIC
@ATTRIBUTE wit_resultaat_2 NUMERIC
@ATTRIBUTE wit_rating_2 NUMERIC
@ATTRIBUTE wit_resultaat_3 NUMERIC
@ATTRIBUTE wit_rating_3 NUMERIC
@ATTRIBUTE wit_resultaat_4 NUMERIC
@ATTRIBUTE wit_rating_4 NUMERIC
@ATTRIBUTE zwart_rating NUMERIC
@ATTRIBUTE zwart_stand NUMERIC
@ATTRIBUTE zwart_resultaat_1 NUMERIC
@ATTRIBUTE zwart_rating_1 NUMERIC
@ATTRIBUTE zwart_resultaat_2 NUMERIC
@ATTRIBUTE zwart_rating_2 NUMERIC
@ATTRIBUTE zwart_resultaat_3 NUMERIC
@ATTRIBUTE zwart_rating_3 NUMERIC
@ATTRIBUTE zwart_resultaat_4 NUMERIC
@ATTRIBUTE zwart_rating_4 NUMERIC
@ATTRIBUTE resultaat {wit,remise,zwart}


@DATA
1490,074,0.0,1686,0.0,0,0.0,1184,1.0,1377,1686,084,0.0,1490,0.0,0,1.0,1269,0.5,1544,?
1377,070,0.0,1415,0.0,0,0.0,0,0.0,1490,1415,068,0.0,1377,0.0,0,0.0,0,0.0,0,?
1402,074,0.0,1184,0.0,0,0.0,0,1.0,1004,1184,075,0.0,1402,0.5,1544,1.0,1490,1.0,1293,?
0481,070,0.0,0783,0.0,0815,0.0,0,0.0,0,0815,069,0.0,0857,0.0,0481,0.0,1004,1.0,0657,?
0783,068,0.0,0481,0.0,0857,1.0,0531,1.0,0671,0857,067,0.0,0815,0.0,0783,0.0,0,1.0,0799,?
0823,066,0.0,0613,0.0,0710,0.0,0,1.0,0643,0710,067,0.0,0657,0.0,0823,0.0,1269,1.0,0643,?
0657,064,0.0,0710,0.0,0643,1.0,0788,0.0,0815,0643,064,0.0,0657,0.0,0657,1.0,0799,0.0,0710,?
0671,063,0.0,0613,0.0,0613,1.0,0657,0.0,0783,0613,061,0.0,0823,0.0,0671,0.0,0,0.0,0783,?
0613,061,0.0,0671,0.0,0657,1.0,0544,1.0,0536,0657,065,0.0,0643,0.0,0613,0.0,0671,1.0,0531,?
0481,070,0.0,0783,0.0,0815,0.0,0,0.0,0,0783,068,0.0,0481,0.0,0857,1.0,0531,1.0,0671,?
0815,069,0.0,0857,0.0,0481,0.0,1004,1.0,0657,0857,067,0.0,0815,0.0,0783,0.0,0,1.0,0799,?
0657,064,0.0,0710,0.0,0643,1.0,0788,0.0,0815,0710,067,0.0,0657,0.0,0823,0.0,1269,1.0,0643,?
0613,061,0.0,0823,0.0,0671,0.0,0,0.0,0783,0823,066,0.0,0613,0.0,0710,0.0,0,1.0,0643,?
0643,064,0.0,0657,0.0,0657,1.0,0799,0.0,0710,0657,065,0.0,0643,0.0,0613,0.0,0671,1.0,0531,?
0671,063,0.0,0613,0.0,0613,1.0,0657,0.0,0783,0613,061,0.0,0671,0.0,0657,1.0,0544,1.0,0536,?
0514,060,0.0,0536,0.0,0508,1.0,0494,1.0,0498,0508,058,0.0,0514,0.0,0514,0.0,0,1.0,0494,?
0536,056,0.0,0514,0.0,0514,0.0,0498,0.0,0613,0514,059,0.0,0508,0.0,0536,1.0,0498,0.0,0544,?
0544,058,0.0,0498,0.0,0498,0.0,0613,1.0,0514,0498,056,0.0,0494,0.0,0544,0.0,0514,0.0,0514,?
0498,056,0.0,0544,0.0,0504,1.0,0536,0.0,0494,0504,054,0.0,0437,0.0,0498,1.0,0410,1.0,0454,?
0494,056,0.0,0498,0.0,0454,0.0,0514,1.0,0498,0454,054,0.0,0402,0.0,0494,0.0,0442,0.0,0504,?
0442,053,0.0,0410,0.0,0402,1.0,0454,1.0,0437,0402,051,0.0,0454,0.0,0442,1.0,0352,0.5,0404,?
0437,057,0.0,0504,0.0,0410,1.0,0367,0.0,0442,0410,053,0.0,0442,0.0,0437,0.0,0504,1.0,0367,?
0514,060,0.0,0536,0.0,0508,1.0,0494,1.0,0498,0536,056,0.0,0514,0.0,0514,0.0,0498,0.0,0613,?
0508,058,0.0,0514,0.0,0514,0.0,0,1.0,0494,0514,059,0.0,0508,0.0,0536,1.0,0498,0.0,0544,?
0498,056,0.0,0544,0.0,0504,1.0,0536,0.0,0494,0544,058,0.0,0498,0.0,0498,0.0,0613,1.0,0514,?
0498,056,0.0,0494,0.0,0544,0.0,0514,0.0,0514,0494,056,0.0,0498,0.0,0454,0.0,0514,1.0,0498,?
0504,054,0.0,0437,0.0,0498,1.0,0410,1.0,0454,0437,057,0.0,0504,0.0,0410,1.0,0367,0.0,0442,?
0454,054,0.0,0402,0.0,0494,0.0,0442,0.0,0504,0402,051,0.0,0454,0.0,0442,1.0,0352,0.5,0404,?
0410,053,0.0,0442,0.0,0437,0.0,0504,1.0,0367,0442,053,0.0,0410,0.0,0402,1.0,0454,1.0,0437,?
