@relation chess_result

@attribute wit_rating numeric
@attribute wit_stand numeric
@attribute wit_resultaat_1 numeric
@attribute wit_rating_1 numeric
@attribute wit_resultaat_2 numeric
@attribute wit_rating_2 numeric
@attribute wit_resultaat_3 numeric
@attribute wit_rating_3 numeric
@attribute wit_resultaat_4 numeric
@attribute wit_rating_4 numeric
@attribute zwart_rating numeric
@attribute zwart_stand numeric
@attribute zwart_resultaat_1 numeric
@attribute zwart_rating_1 numeric
@attribute zwart_resultaat_2 numeric
@attribute zwart_rating_2 numeric
@attribute zwart_resultaat_3 numeric
@attribute zwart_rating_3 numeric
@attribute zwart_resultaat_4 numeric
@attribute zwart_rating_4 numeric
@attribute resultaat {wit,remise,zwart}

@data
1490,74,0,1686,0,0,0,1184,1,1377,1686,84,0,1490,0,0,1,1269,0.5,1544,remise
1377,70,0,1415,0,0,0,0,0,1490,1415,68,0,1377,0,0,0,0,0,0,wit
1402,74,0,1184,0,0,0,0,1,1004,1184,75,0,1402,0.5,1544,1,1490,1,1293,remise
481,70,0,783,0,815,0,0,0,0,815,69,0,857,0,481,0,1004,1,657,wit
783,68,0,481,0,857,1,531,1,671,857,67,0,815,0,783,0,0,1,799,zwart
823,66,0,613,0,710,0,0,1,643,710,67,0,657,0,823,0,1269,1,643,remise
657,64,0,710,0,643,1,788,0,815,643,64,0,657,0,657,1,799,0,710,wit
671,63,0,613,0,613,1,657,0,783,613,61,0,823,0,671,0,0,0,783,wit
613,61,0,671,0,657,1,544,1,536,657,65,0,643,0,613,0,671,1,531,remise
481,70,0,783,0,815,0,0,0,0,783,68,0,481,0,857,1,531,1,671,wit
815,69,0,857,0,481,0,1004,1,657,857,67,0,815,0,783,0,0,1,799,zwart
657,64,0,710,0,643,1,788,0,815,710,67,0,657,0,823,0,1269,1,643,remise
613,61,0,823,0,671,0,0,0,783,823,66,0,613,0,710,0,0,1,643,zwart
643,64,0,657,0,657,1,799,0,710,657,65,0,643,0,613,0,671,1,531,wit
671,63,0,613,0,613,1,657,0,783,613,61,0,671,0,657,1,544,1,536,wit
514,60,0,536,0,508,1,494,1,498,508,58,0,514,0,514,0,0,1,494,zwart
536,56,0,514,0,514,0,498,0,613,514,59,0,508,0,536,1,498,0,544,wit
544,58,0,498,0,498,0,613,1,514,498,56,0,494,0,544,0,514,0,514,zwart
