% 1. Title: IJC Resultaat voorspeller 
% 
% 2. Sources: 
% (a) Creator: L. van der Meulen 
% (b) Date: November 2016 
% 
% 3. Past Usage: (Several: here are some) 
%    - Best result sofar with MultilayerPercepton configures as follows: 
%              Scheme:       weka.classifiers.functions.MultilayerPerceptron  
%                             -L 0.1 -M 0.1 -N 8192 -V 0 -S 0 -E 20 -H t 
%              Result: 98.7% 
% 4. Relevant Information: 
%      Voorspellen van de uitslag van een schaakwedstrijd op basis van de 
%      gegevens van de speler (huidige sterkte, historisch resultaat) 
%  
%  
% 5. Number of Instances: 443 
%  
% 6. Number of Attributes: 22 + the class attribute [wit,remise,zwart] 
%  
% 7. Attribute Information: 
%    1. wit_rating        : numeric <0,2500>        Huidige rating speler wit 
%    2. wit_punten        : numeric <0,100>         Huidige aantal punten 
%    3. wit_groep         : numeric <0,9>           Huidige groep speler 
%    4. wit_resultaat_1   : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%    5. wit_rating_1      : numeric <0,2500>        Huidige rating betreffende tegenstander 
%    6. wit_resultaat_2   : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%    7. wit_rating_2      : numeric <0,2500>        Huidige rating betreffende tegenstander 
%    8. wit_resultaat_3   : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%    9. wit_rating_3      : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   10. wit_resultaat_4   : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%   11. wit_rating_3      : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   12. zwart_rating      : numeric <0,2500>        Huidige rating speler wit 
%   13. zwart_punten      : numeric <0,100>         Huidige aantal punten 
%   14. zwart_groep       : numeric <0,9>           Huidige groep speler 
%   15. zwart_resultaat_1 : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%   16. zwart_rating_1    : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   17. zwart_resultaat_2 : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%   18. zwart_rating_2    : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   19. zwart_resultaat_3 : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%   20. zwart_rating_3    : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   21. zwart_resultaat_4 : 0,.5,1                  Laatste resutlaat speler wit [0 = verlies, .5 = remise, 1 = winst] 
%   22. zwart_rating_4    : numeric <0,2500>        Huidige rating betreffende tegenstander 
%   23. resultaat         : wit, remise, zwart      Resultaat van de wedstrijd 
%  
% 8. Missing Attribute Values: (denoted by "?")
%    Attribute #:  Number of instances with missing values: 0 
%  
% 9. Class Distribution: 
%     1. wit    : 198 instances 
%     2. remise :  50 instances 
%     2. zwart  : 195 instances 
 
@RELATION chess_result 
@ATTRIBUTE wit_rating NUMERIC 
@ATTRIBUTE wit_stand NUMERIC 
@ATTRIBUTE wit_groep NUMERIC 
@ATTRIBUTE wit_resultaat_1 NUMERIC 
@ATTRIBUTE wit_rating_1 NUMERIC 
@ATTRIBUTE wit_resultaat_2 NUMERIC 
@ATTRIBUTE wit_rating_2 NUMERIC 
@ATTRIBUTE wit_resultaat_3 NUMERIC 
@ATTRIBUTE wit_rating_3 NUMERIC 
@ATTRIBUTE wit_resultaat_4 NUMERIC 
@ATTRIBUTE wit_rating_4 NUMERIC 
@ATTRIBUTE zwart_rating NUMERIC 
@ATTRIBUTE zwart_stand NUMERIC 
@ATTRIBUTE zwart_groep NUMERIC 
@ATTRIBUTE zwart_resultaat_1 NUMERIC 
@ATTRIBUTE zwart_rating_1 NUMERIC 
@ATTRIBUTE zwart_resultaat_2 NUMERIC 
@ATTRIBUTE zwart_rating_2 NUMERIC 
@ATTRIBUTE zwart_resultaat_3 NUMERIC 
@ATTRIBUTE zwart_rating_3 NUMERIC 
@ATTRIBUTE zwart_resultaat_4 NUMERIC 
@ATTRIBUTE zwart_rating_4 NUMERIC 
@ATTRIBUTE verschil_rating NUMERIC 
@ATTRIBUTE verschil_stand NUMERIC 
@ATTRIBUTE resultaat {wit,remise,zwart} 
 
@DATA 
1490,74,6,0.0,1686,0.0,0,0.0,1184,1.0,1377,1686,84,6,0.0,1490,0.0,0,1.0,1269,0.5,1544,-196,-10,remise
1377,70,6,0.0,1402,0.0,0,0.0,0,0.0,1490,1402,74,5,0.0,1377,0.0,0,0.0,0,1.0,1004,-25,-4,wit
1184,75,5,0.5,1544,1.0,1490,1.0,1293,0.0,0,1415,68,6,0.0,0,0.0,0,0.0,0,0.0,0,-231,7,wit
481,70,5,0.0,783,0.0,815,0.0,0,0.0,0,815,69,5,0.0,857,0.0,481,0.0,1004,1.0,657,-334,1,remise
783,68,5,0.0,481,0.0,857,1.0,531,1.0,671,857,67,5,0.0,815,0.0,783,0.0,0,1.0,799,-74,1,zwart
823,66,5,0.0,613,0.0,710,0.0,0,1.0,643,710,67,5,0.0,657,0.0,823,0.0,1269,1.0,643,113,-1,wit
657,64,5,0.0,710,0.0,643,1.0,788,0.0,815,643,64,5,0.0,657,0.0,657,1.0,799,0.0,710,14,0,wit
671,63,5,0.0,613,0.0,613,1.0,657,0.0,783,613,61,4,0.0,823,0.0,671,0.0,0,0.0,783,58,2,zwart
613,61,4,0.0,671,0.0,657,1.0,544,1.0,536,657,65,4,0.0,643,0.0,613,0.0,671,1.0,531,-44,-4,remise
481,70,5,0.0,783,0.0,815,0.0,0,0.0,0,783,68,5,0.0,481,0.0,857,1.0,531,1.0,671,-302,2,zwart
815,69,5,0.0,857,0.0,481,0.0,1004,1.0,657,857,67,5,0.0,815,0.0,783,0.0,0,1.0,799,-42,2,zwart
657,64,5,0.0,710,0.0,643,1.0,788,0.0,815,710,67,5,0.0,657,0.0,823,0.0,1269,1.0,643,-53,-3,remise
613,61,4,0.0,823,0.0,671,0.0,0,0.0,783,823,66,5,0.0,613,0.0,710,0.0,0,1.0,643,-210,-5,zwart
643,64,5,0.0,657,0.0,657,1.0,799,0.0,710,657,65,4,0.0,643,0.0,613,0.0,671,1.0,531,-14,-1,wit
671,63,5,0.0,613,0.0,613,1.0,657,0.0,783,613,61,4,0.0,671,0.0,657,1.0,544,1.0,536,58,2,zwart
544,58,4,0.0,536,0.0,498,0.0,613,1.0,514,498,56,4,0.0,494,0.0,544,0.0,514,0.0,514,46,2,zwart
494,56,4,0.0,498,0.0,536,0.0,514,1.0,498,536,56,4,0.0,544,0.0,494,0.0,498,0.0,613,-42,0,zwart
498,56,4,0.0,410,0.0,504,1.0,536,0.0,494,504,54,4,0.0,442,0.0,498,1.0,410,1.0,454,-6,2,zwart
454,54,4,0.0,402,0.0,410,0.0,442,0.0,504,410,53,3,0.0,498,0.0,454,0.0,504,1.0,367,44,1,wit
442,53,4,0.0,504,0.0,402,1.0,454,1.0,437,402,51,3,0.0,454,0.0,442,1.0,352,0.5,404,40,2,wit
536,56,4,0.0,544,0.0,494,0.0,498,0.0,613,544,58,4,0.0,536,0.0,498,0.0,613,1.0,514,-8,-2,zwart
498,56,4,0.0,494,0.0,544,0.0,514,0.0,514,494,56,4,0.0,498,0.0,536,0.0,514,1.0,498,4,0,zwart
410,53,3,0.0,498,0.0,454,0.0,504,1.0,367,498,56,4,0.0,410,0.0,504,1.0,536,0.0,494,-88,-3,zwart
504,54,4,0.0,442,0.0,498,1.0,410,1.0,454,442,53,4,0.0,504,0.0,402,1.0,454,1.0,437,62,1,wit
402,51,3,0.0,454,0.0,442,1.0,352,0.5,404,454,54,4,0.0,402,0.0,410,0.0,442,0.0,504,-52,-3,zwart
514,60,4,1.0,494,1.0,498,1.0,544,0.0,514,514,59,4,1.0,498,0.0,544,1.0,410,1.0,514,0,1,wit
508,58,4,0.0,0,1.0,494,1.0,498,1.0,410,514,60,4,1.0,494,1.0,498,1.0,544,0.0,514,-6,-2,zwart
508,58,4,0.0,0,1.0,494,1.0,498,1.0,410,514,59,4,1.0,498,0.0,544,1.0,410,1.0,514,-6,-1,zwart
437,57,3,0.0,404,0.0,404,1.0,367,0.0,442,404,49,3,0.0,437,0.0,437,1.0,331,0.5,402,33,8,zwart
367,51,3,0.0,352,0.0,352,0.0,437,0.0,410,352,46,3,0.0,367,0.0,367,0.0,402,0.0,381,15,5,zwart
354,44,3,0.0,276,0.0,276,0.0,0,0.0,367,276,42,2,0.0,354,0.0,354,0.0,381,0.0,375,78,2,wit
375,47,2,0.0,230,0.0,230,1.0,249,1.0,276,230,40,2,0.0,375,0.0,375,0.0,274,1.0,249,145,7,wit
404,49,3,0.0,437,0.0,437,1.0,331,0.5,402,367,51,3,0.0,437,0.0,410,1.0,354,1.0,352,37,-2,wit
352,46,3,0.0,367,0.0,367,0.0,402,0.0,381,437,57,3,1.0,367,0.0,442,0.5,402,1.0,504,-85,-11,zwart
276,42,2,0.0,354,0.0,354,0.0,381,0.0,375,375,47,2,1.0,249,1.0,276,0.0,404,1.0,354,-99,-5,zwart
230,40,2,0.0,375,0.0,375,0.0,274,1.0,249,354,44,3,0.0,0,0.0,367,0.0,375,0.0,352,-124,-4,zwart
379,47,3,0.0,0,0.0,504,0.0,442,1.0,404,381,50,3,1.0,276,1.0,352,1.0,249,1.0,404,-2,-3,zwart
